Review,Polarity
"Ideal para un plan informal sin expectativas elevadas. Es un lugar funcional, con buen espacio y limpieza aceptable. Una velada sin altibajos: el servicio correcto y la comida estándar. Ideal para un plan informal sin expectativas elevadas. Estuvo bien en líneas generales, aunque no hubo nada que me sorprendiera. Estuvo bien en líneas generales, aunque no hubo nada que me sorprendiera.",3.0
"Es un lugar funcional, con buen espacio y limpieza aceptable. Estuvo bien en líneas generales, aunque no hubo nada que me sorprendiera. Ideal para un plan informal sin expectativas elevadas. Una velada sin altibajos: el servicio correcto y la comida estándar.",3.0
"Es un lugar funcional, con buen espacio y limpieza aceptable. La relación calidad-precio es justa, ni barata ni cara. Estuvo bien en líneas generales, aunque no hubo nada que me sorprendiera.",3.0
"La cuenta llegó mal, me cobraron cosas que ni pedí. Baños en pésimas condiciones y mesas sin limpiar. Los sabores eran planos, como si estuvieran rehechos y recalentados.",1.0
"Estuvo bien en líneas generales, aunque no hubo nada que me sorprendiera. Ideal para un plan informal sin expectativas elevadas. Ideal para un plan informal sin expectativas elevadas.",3.0
"El personal parecía incómodo, tardaron una eternidad y, para colmo, las mesas estaban pegajosas. La cuenta llegó mal, me cobraron cosas que ni pedí. Fue una decepción total: platos fríos, servicio negligente y ambiente sucio.",1.0
Ideal para un plan informal sin expectativas elevadas. Ideal para un plan informal sin expectativas elevadas. Una velada sin altibajos: el servicio correcto y la comida estándar.,3.0
"Los sabores eran planos, como si estuvieran rehechos y recalentados. Los sabores eran planos, como si estuvieran rehechos y recalentados. La cuenta llegó mal, me cobraron cosas que ni pedí. Fue una decepción total: platos fríos, servicio negligente y ambiente sucio.",1.0
"La cuenta llegó mal, me cobraron cosas que ni pedí. El personal parecía incómodo, tardaron una eternidad y, para colmo, las mesas estaban pegajosas. Fue una decepción total: platos fríos, servicio negligente y ambiente sucio. Los sabores eran planos, como si estuvieran rehechos y recalentados. La cuenta llegó mal, me cobraron cosas que ni pedí. Fue una decepción total: platos fríos, servicio negligente y ambiente sucio.",1.0
"Llegó la comida a destiempo y el sabor no justificaba el precio. El lugar tiene potencial, pero falta coordinación en cocina y meseros. El ambiente estaba bien, pero el volumen de la música era incómodo.",2.0
