Review	Polarity
El ambiente fue decepcionante, en general no lo recomendaría.	2.2
La atención fue sorprendente, desde que llegamos fue una experiencia inolvidable.	1.3
El servicio fue excelente, teniendo en cuenta la ubicación lo recomendaría.	3.8
El ambiente me dejó con ganas de más, en cuanto al servicio no lo recomendaría.	2.0
La atención me desagradó, teniendo en cuenta la ubicación fue una experiencia inolvidable.	1.9
Los precios fue decepcionante, en general no lo recomendaría.	3.7
La experiencia no estuvo mal, en general no creo que regrese.	2.4
El ambiente no cumplió mis expectativas, teniendo en cuenta la ubicación no creo que regrese.	4.4
Este restaurante fue excelente, en comparación con otros lugares no lo recomendaría.	3.8
El lugar fue decepcionante, considerando el precio pasó sin pena ni gloria.	4.9
El lugar me encantó, considerando el precio volvería sin duda.	1.6
Este restaurante fue sorprendente, en relación a la comida fue una experiencia inolvidable.	1.4
El lugar fue decepcionante, en cuanto al servicio lo recomendaría.	2.4
Los precios me dejó con ganas de más, considerando el precio no creo que regrese.	4.1
La decoración fue decepcionante, en relación a la comida fue una experiencia inolvidable.	3.9
La atención fue decepcionante, en cuanto al servicio no lo recomendaría.	1.2
Este restaurante no cumplió mis expectativas, considerando el precio lo recomendaría.	3.9
La comida fue decepcionante, en general pasó sin pena ni gloria.	4.7
El ambiente no estuvo mal, teniendo en cuenta la ubicación volvería sin duda.	2.3
La comida fue sorprendente, en relación a la comida fue una experiencia inolvidable.	3.1
Este restaurante no estuvo mal, teniendo en cuenta la ubicación fue una experiencia inolvidable.	2.9
Este restaurante no estuvo mal, desde que llegamos lo recomendaría.	4.8
La comida me encantó, desde que llegamos no creo que regrese.	1.6
Este restaurante fue decepcionante, considerando el precio no lo recomendaría.	3.3
El servicio fue sorprendente, en cuanto al servicio no creo que regrese.	1.9
La limpieza fue excelente, en general no lo recomendaría.	4.2
La comida fue decepcionante, en cuanto al servicio volvería sin duda.	1.3
La experiencia fue excelente, en relación a la comida fue una experiencia inolvidable.	4.0
La decoración fue sorprendente, teniendo en cuenta la ubicación no lo recomendaría.	1.3
La limpieza fue excelente, en cuanto al servicio fue una experiencia inolvidable.	2.1
La comida me encantó, en relación a la comida no creo que regrese.	3.3
La atención no cumplió mis expectativas, en comparación con otros lugares no creo que regrese.	3.1
La decoración fue excelente, teniendo en cuenta la ubicación no creo que regrese.	4.0
El ambiente fue sorprendente, en cuanto al servicio fue una experiencia inolvidable.	2.8
El servicio me encantó, considerando el precio fue una experiencia inolvidable.	4.8
Este restaurante me dejó con ganas de más, en relación a la comida pasó sin pena ni gloria.	4.8
La decoración no estuvo mal, en general pasó sin pena ni gloria.	2.3
Los precios fue decepcionante, en cuanto al servicio no creo que regrese.	2.6
La comida me encantó, en general no lo recomendaría.	1.9
La atención me desagradó, desde que llegamos lo recomendaría.	2.8
El servicio me desagradó, en cuanto al servicio fue una experiencia inolvidable.	4.5
La atención me dejó con ganas de más, en comparación con otros lugares fue una experiencia inolvidable.	4.7
El servicio no estuvo mal, considerando el precio volvería sin duda.	2.0
El servicio fue decepcionante, teniendo en cuenta la ubicación no lo recomendaría.	1.2
Los precios me encantó, en cuanto al servicio no lo recomendaría.	4.5
El ambiente me dejó con ganas de más, teniendo en cuenta la ubicación no lo recomendaría.	3.9
La atención no cumplió mis expectativas, en general no lo recomendaría.	2.2
El servicio me dejó con ganas de más, teniendo en cuenta la ubicación no creo que regrese.	1.5
Este restaurante no cumplió mis expectativas, considerando el precio no lo recomendaría.	2.4
La decoración me encantó, en cuanto al servicio lo recomendaría.	4.6
La atención me dejó con ganas de más, en relación a la comida volvería sin duda.	3.3
La limpieza me dejó con ganas de más, en cuanto al servicio volvería sin duda.	2.5
Este restaurante no estuvo mal, en cuanto al servicio pasó sin pena ni gloria.	1.8
La limpieza me dejó con ganas de más, teniendo en cuenta la ubicación lo recomendaría.	2.0
La decoración fue decepcionante, en relación a la comida pasó sin pena ni gloria.	1.5
El ambiente fue decepcionante, en general lo recomendaría.	4.4
Los precios me dejó con ganas de más, en relación a la comida volvería sin duda.	4.9
La atención fue decepcionante, en relación a la comida pasó sin pena ni gloria.	2.9
La comida no estuvo mal, en comparación con otros lugares lo recomendaría.	4.8
La comida fue decepcionante, en general pasó sin pena ni gloria.	3.6
El ambiente fue sorprendente, teniendo en cuenta la ubicación lo recomendaría.	2.9
Este restaurante me dejó con ganas de más, en relación a la comida volvería sin duda.	3.3
La limpieza me encantó, en general pasó sin pena ni gloria.	1.3
La experiencia me desagradó, en cuanto al servicio no creo que regrese.	2.0
La experiencia fue decepcionante, considerando el precio lo recomendaría.	3.5
El servicio no estuvo mal, desde que llegamos no lo recomendaría.	3.8
La decoración me dejó con ganas de más, en general fue una experiencia inolvidable.	3.3
La experiencia no cumplió mis expectativas, en comparación con otros lugares no lo recomendaría.	2.1
El lugar me encantó, teniendo en cuenta la ubicación pasó sin pena ni gloria.	3.6
El lugar fue decepcionante, teniendo en cuenta la ubicación volvería sin duda.	2.0
El ambiente me dejó con ganas de más, en relación a la comida no lo recomendaría.	2.5
La comida me encantó, teniendo en cuenta la ubicación lo recomendaría.	1.9
La decoración fue excelente, en comparación con otros lugares volvería sin duda.	2.6
La decoración no cumplió mis expectativas, desde que llegamos volvería sin duda.	4.2
El servicio me encantó, desde que llegamos volvería sin duda.	2.9
La atención fue excelente, considerando el precio pasó sin pena ni gloria.	1.4
El lugar me desagradó, teniendo en cuenta la ubicación no creo que regrese.	4.7
El servicio me encantó, en cuanto al servicio pasó sin pena ni gloria.	4.0
Este restaurante me desagradó, considerando el precio pasó sin pena ni gloria.	1.7
Este restaurante no cumplió mis expectativas, teniendo en cuenta la ubicación fue una experiencia inolvidable.	4.1
La decoración no estuvo mal, teniendo en cuenta la ubicación no creo que regrese.	4.5
El ambiente no estuvo mal, teniendo en cuenta la ubicación fue una experiencia inolvidable.	3.2
Los precios fue decepcionante, en relación a la comida pasó sin pena ni gloria.	1.6
La atención me desagradó, teniendo en cuenta la ubicación no creo que regrese.	3.9
Este restaurante no estuvo mal, desde que llegamos fue una experiencia inolvidable.	2.4
Este restaurante no cumplió mis expectativas, en comparación con otros lugares lo recomendaría.	4.9
Los precios fue decepcionante, en comparación con otros lugares fue una experiencia inolvidable.	3.0
La comida no estuvo mal, en cuanto al servicio lo recomendaría.	1.0
La experiencia fue excelente, en relación a la comida no creo que regrese.	4.6
El ambiente fue excelente, considerando el precio fue una experiencia inolvidable.	4.2
La experiencia no cumplió mis expectativas, considerando el precio pasó sin pena ni gloria.	4.6
La experiencia fue decepcionante, en comparación con otros lugares no creo que regrese.	1.5
El servicio fue excelente, en cuanto al servicio no creo que regrese.	2.5
El servicio me desagradó, considerando el precio lo recomendaría.	4.1
La comida me desagradó, considerando el precio pasó sin pena ni gloria.	3.4
La atención fue sorprendente, desde que llegamos lo recomendaría.	4.7
La limpieza me desagradó, en relación a la comida lo recomendaría.	1.4
La atención no cumplió mis expectativas, en relación a la comida volvería sin duda.	4.5
La decoración fue excelente, en general lo recomendaría.	2.2
La experiencia me dejó con ganas de más, en relación a la comida fue una experiencia inolvidable.	2.9
La comida me encantó, en cuanto al servicio no lo recomendaría.	1.2
Este restaurante fue decepcionante, considerando el precio no creo que regrese.	2.3
El ambiente no cumplió mis expectativas, desde que llegamos fue una experiencia inolvidable.	3.1
El ambiente fue sorprendente, en relación a la comida no lo recomendaría.	4.0
La atención me encantó, teniendo en cuenta la ubicación no lo recomendaría.	4.6
La comida no cumplió mis expectativas, teniendo en cuenta la ubicación pasó sin pena ni gloria.	4.2
La limpieza fue sorprendente, desde que llegamos volvería sin duda.	3.8
El lugar me dejó con ganas de más, desde que llegamos lo recomendaría.	2.3
La decoración no estuvo mal, en relación a la comida no lo recomendaría.	3.7
La experiencia me dejó con ganas de más, teniendo en cuenta la ubicación volvería sin duda.	3.5
La comida fue sorprendente, en cuanto al servicio lo recomendaría.	2.2
La limpieza no estuvo mal, en cuanto al servicio pasó sin pena ni gloria.	3.2
La decoración fue sorprendente, desde que llegamos volvería sin duda.	4.3
Este restaurante me encantó, considerando el precio pasó sin pena ni gloria.	4.7
El ambiente me dejó con ganas de más, teniendo en cuenta la ubicación volvería sin duda.	1.5
El ambiente fue decepcionante, en general pasó sin pena ni gloria.	1.4
La comida me desagradó, en comparación con otros lugares lo recomendaría.	4.9
Los precios no estuvo mal, en cuanto al servicio no lo recomendaría.	2.8
La limpieza no estuvo mal, considerando el precio lo recomendaría.	1.9
El servicio fue decepcionante, considerando el precio lo recomendaría.	2.9
El ambiente no cumplió mis expectativas, en general volvería sin duda.	2.3
La atención no estuvo mal, teniendo en cuenta la ubicación pasó sin pena ni gloria.	1.2
La experiencia fue sorprendente, desde que llegamos no creo que regrese.	3.5
El servicio no cumplió mis expectativas, en general no lo recomendaría.	4.3
Este restaurante me encantó, considerando el precio volvería sin duda.	2.2
La decoración fue sorprendente, en comparación con otros lugares fue una experiencia inolvidable.	3.2
El servicio me encantó, en cuanto al servicio pasó sin pena ni gloria.	1.8
Este restaurante fue excelente, desde que llegamos volvería sin duda.	4.7
La limpieza fue decepcionante, desde que llegamos lo recomendaría.	4.8
La limpieza me dejó con ganas de más, en cuanto al servicio lo recomendaría.	2.1
La experiencia me dejó con ganas de más, en cuanto al servicio lo recomendaría.	3.5
Este restaurante fue sorprendente, en cuanto al servicio fue una experiencia inolvidable.	3.1
La atención fue excelente, teniendo en cuenta la ubicación no lo recomendaría.	3.7
El servicio me dejó con ganas de más, en relación a la comida pasó sin pena ni gloria.	3.4
La experiencia me encantó, en comparación con otros lugares volvería sin duda.	1.2
La experiencia no estuvo mal, en comparación con otros lugares no creo que regrese.	1.8
La atención fue excelente, en cuanto al servicio volvería sin duda.	2.8
El servicio fue excelente, en general no lo recomendaría.	4.5
El lugar me desagradó, en cuanto al servicio lo recomendaría.	4.5
La comida no cumplió mis expectativas, en general volvería sin duda.	2.2
La comida fue sorprendente, en relación a la comida no creo que regrese.	1.7
La experiencia me dejó con ganas de más, considerando el precio no lo recomendaría.	4.9
El ambiente me encantó, en comparación con otros lugares fue una experiencia inolvidable.	4.9
La atención me dejó con ganas de más, desde que llegamos no lo recomendaría.	1.5
El ambiente me dejó con ganas de más, en relación a la comida pasó sin pena ni gloria.	2.9
El lugar fue excelente, considerando el precio no creo que regrese.	4.5
La comida no cumplió mis expectativas, en relación a la comida volvería sin duda.	1.6
La decoración me dejó con ganas de más, en comparación con otros lugares fue una experiencia inolvidable.	3.2
La comida me encantó, teniendo en cuenta la ubicación pasó sin pena ni gloria.	2.9
La comida fue decepcionante, en relación a la comida no creo que regrese.	2.7
El ambiente no estuvo mal, en comparación con otros lugares pasó sin pena ni gloria.	4.5
El ambiente me encantó, desde que llegamos volvería sin duda.	4.1
La limpieza no cumplió mis expectativas, en comparación con otros lugares no lo recomendaría.	1.4
Los precios fue excelente, en comparación con otros lugares no creo que regrese.	3.6
Los precios me dejó con ganas de más, en comparación con otros lugares no creo que regrese.	3.5
La decoración no estuvo mal, en comparación con otros lugares fue una experiencia inolvidable.	2.1
La decoración fue excelente, en relación a la comida pasó sin pena ni gloria.	4.9
El lugar no cumplió mis expectativas, teniendo en cuenta la ubicación no lo recomendaría.	2.5
La experiencia fue excelente, en general no creo que regrese.	3.3
Los precios me dejó con ganas de más, considerando el precio lo recomendaría.	4.0
La limpieza me desagradó, desde que llegamos volvería sin duda.	1.2
El ambiente no cumplió mis expectativas, en general volvería sin duda.	2.7
La atención no cumplió mis expectativas, en relación a la comida fue una experiencia inolvidable.	1.0
La decoración me dejó con ganas de más, considerando el precio pasó sin pena ni gloria.	2.4
El ambiente me desagradó, en comparación con otros lugares pasó sin pena ni gloria.	4.6
Los precios me desagradó, en general no creo que regrese.	2.4
El ambiente fue excelente, en general no creo que regrese.	4.6
La decoración no cumplió mis expectativas, en general no lo recomendaría.	3.8
El servicio fue decepcionante, en relación a la comida no lo recomendaría.	3.7
La experiencia fue excelente, en comparación con otros lugares pasó sin pena ni gloria.	2.0
Los precios fue excelente, en cuanto al servicio fue una experiencia inolvidable.	2.1
Los precios me encantó, en general no lo recomendaría.	3.4
El ambiente me desagradó, en relación a la comida volvería sin duda.	1.5
La limpieza fue sorprendente, en relación a la comida fue una experiencia inolvidable.	4.9
El lugar fue decepcionante, en general lo recomendaría.	4.4
La experiencia me dejó con ganas de más, en general volvería sin duda.	1.4
La comida no estuvo mal, en general no lo recomendaría.	4.8
El ambiente fue decepcionante, en relación a la comida no lo recomendaría.	1.1
El servicio fue sorprendente, en general pasó sin pena ni gloria.	2.7
La comida me dejó con ganas de más, en cuanto al servicio no creo que regrese.	1.5
La comida fue decepcionante, considerando el precio pasó sin pena ni gloria.	2.4
La atención me encantó, en cuanto al servicio no creo que regrese.	2.1
La atención no cumplió mis expectativas, en relación a la comida fue una experiencia inolvidable.	4.4
Este restaurante fue sorprendente, en cuanto al servicio lo recomendaría.	4.1
La experiencia no cumplió mis expectativas, considerando el precio no creo que regrese.	2.1
El ambiente fue excelente, teniendo en cuenta la ubicación no lo recomendaría.	3.6
La atención no cumplió mis expectativas, teniendo en cuenta la ubicación lo recomendaría.	2.7
La experiencia fue decepcionante, en general lo recomendaría.	2.3
Este restaurante me desagradó, en cuanto al servicio volvería sin duda.	1.2
La limpieza fue excelente, en general pasó sin pena ni gloria.	1.7
El lugar me encantó, considerando el precio lo recomendaría.	4.6
Los precios fue decepcionante, desde que llegamos lo recomendaría.	2.0
La experiencia me desagradó, desde que llegamos no lo recomendaría.	3.4
La atención fue excelente, en cuanto al servicio no creo que regrese.	3.6
La comida fue excelente, en general fue una experiencia inolvidable.	3.0
El servicio me desagradó, considerando el precio pasó sin pena ni gloria.	2.4
Este restaurante fue sorprendente, en cuanto al servicio fue una experiencia inolvidable.	3.8
La decoración me dejó con ganas de más, en cuanto al servicio no lo recomendaría.	1.3
El servicio fue excelente, en cuanto al servicio no lo recomendaría.	3.8
La decoración me dejó con ganas de más, desde que llegamos volvería sin duda.	1.8
La decoración fue sorprendente, en comparación con otros lugares volvería sin duda.	2.5
Este restaurante no cumplió mis expectativas, en relación a la comida lo recomendaría.	1.7
El lugar me dejó con ganas de más, considerando el precio no lo recomendaría.	1.6
El servicio fue decepcionante, en cuanto al servicio lo recomendaría.	4.8
Los precios fue excelente, en relación a la comida no lo recomendaría.	2.7
La experiencia fue decepcionante, desde que llegamos fue una experiencia inolvidable.	3.0
Los precios no estuvo mal, en relación a la comida volvería sin duda.	2.6
La experiencia fue decepcionante, desde que llegamos pasó sin pena ni gloria.	2.1
Este restaurante no cumplió mis expectativas, considerando el precio volvería sin duda.	3.1
El servicio no estuvo mal, en cuanto al servicio pasó sin pena ni gloria.	3.4
Los precios fue excelente, en relación a la comida pasó sin pena ni gloria.	4.0
La experiencia no cumplió mis expectativas, en relación a la comida fue una experiencia inolvidable.	3.3
El lugar fue sorprendente, desde que llegamos no creo que regrese.	4.4
La experiencia no estuvo mal, desde que llegamos pasó sin pena ni gloria.	3.0
La experiencia me desagradó, considerando el precio pasó sin pena ni gloria.	2.4
La experiencia me desagradó, en cuanto al servicio pasó sin pena ni gloria.	3.8
La atención me encantó, desde que llegamos no creo que regrese.	4.1
La limpieza fue decepcionante, en cuanto al servicio fue una experiencia inolvidable.	1.9
El servicio fue excelente, en cuanto al servicio fue una experiencia inolvidable.	3.8
El servicio me encantó, en relación a la comida lo recomendaría.	3.5
El servicio fue sorprendente, desde que llegamos pasó sin pena ni gloria.	4.9
La experiencia no estuvo mal, en relación a la comida pasó sin pena ni gloria.	3.4
La atención no cumplió mis expectativas, en cuanto al servicio pasó sin pena ni gloria.	4.6
La limpieza fue decepcionante, en comparación con otros lugares fue una experiencia inolvidable.	3.2
El ambiente me encantó, en relación a la comida fue una experiencia inolvidable.	2.6
Los precios no estuvo mal, considerando el precio lo recomendaría.	2.8
El servicio no estuvo mal, en relación a la comida no lo recomendaría.	3.6
El servicio fue sorprendente, teniendo en cuenta la ubicación no lo recomendaría.	4.9
Este restaurante me desagradó, en relación a la comida fue una experiencia inolvidable.	3.7
La decoración fue sorprendente, en general volvería sin duda.	4.9
La experiencia me encantó, considerando el precio volvería sin duda.	3.5
Este restaurante me dejó con ganas de más, considerando el precio lo recomendaría.	2.5
El ambiente fue sorprendente, desde que llegamos lo recomendaría.	3.2
El servicio no cumplió mis expectativas, considerando el precio pasó sin pena ni gloria.	4.1
La decoración me encantó, en cuanto al servicio fue una experiencia inolvidable.	3.3
El lugar me encantó, en comparación con otros lugares pasó sin pena ni gloria.	4.2
La comida me dejó con ganas de más, en relación a la comida pasó sin pena ni gloria.	2.3
El lugar no cumplió mis expectativas, desde que llegamos no creo que regrese.	1.2
El servicio me dejó con ganas de más, en comparación con otros lugares no creo que regrese.	2.3
La limpieza no estuvo mal, en general lo recomendaría.	4.6
El servicio me dejó con ganas de más, en general pasó sin pena ni gloria.	4.9
La decoración fue decepcionante, en general no lo recomendaría.	1.6
El lugar me desagradó, en comparación con otros lugares no creo que regrese.	4.6
El ambiente me encantó, desde que llegamos lo recomendaría.	3.9
La atención fue excelente, en relación a la comida no creo que regrese.	2.0
Los precios me encantó, en cuanto al servicio lo recomendaría.	4.6
La atención fue excelente, en relación a la comida no creo que regrese.	3.7
Este restaurante me encantó, desde que llegamos no lo recomendaría.	3.8
Este restaurante me desagradó, desde que llegamos volvería sin duda.	4.8
El lugar no cumplió mis expectativas, considerando el precio volvería sin duda.	3.5
La decoración me dejó con ganas de más, en cuanto al servicio no creo que regrese.	4.2
Este restaurante me desagradó, en comparación con otros lugares volvería sin duda.	2.2
La decoración me dejó con ganas de más, en cuanto al servicio no lo recomendaría.	2.5
La experiencia fue sorprendente, en relación a la comida volvería sin duda.	4.8
El servicio fue decepcionante, considerando el precio no creo que regrese.	2.0
La decoración no estuvo mal, en comparación con otros lugares pasó sin pena ni gloria.	1.2
El lugar no cumplió mis expectativas, teniendo en cuenta la ubicación lo recomendaría.	3.8
La decoración me encantó, en cuanto al servicio fue una experiencia inolvidable.	4.9
El lugar fue sorprendente, considerando el precio no lo recomendaría.	3.4
Este restaurante fue sorprendente, en cuanto al servicio volvería sin duda.	2.2
El lugar me desagradó, en relación a la comida pasó sin pena ni gloria.	4.0
La decoración me desagradó, teniendo en cuenta la ubicación fue una experiencia inolvidable.	5.0
Los precios no cumplió mis expectativas, en relación a la comida no creo que regrese.	4.8
La atención fue decepcionante, desde que llegamos pasó sin pena ni gloria.	4.2
El lugar me encantó, en relación a la comida lo recomendaría.	2.7
La decoración fue sorprendente, en general pasó sin pena ni gloria.	4.9
La comida me encantó, en comparación con otros lugares fue una experiencia inolvidable.	4.6
La comida me encantó, en cuanto al servicio volvería sin duda.	4.6
La experiencia me desagradó, teniendo en cuenta la ubicación no creo que regrese.	4.0
La decoración fue excelente, en comparación con otros lugares volvería sin duda.	4.9
El servicio me desagradó, teniendo en cuenta la ubicación pasó sin pena ni gloria.	3.5
La atención fue excelente, en relación a la comida no lo recomendaría.	2.1
El lugar no estuvo mal, desde que llegamos lo recomendaría.	3.6
El ambiente no cumplió mis expectativas, considerando el precio fue una experiencia inolvidable.	4.7
Los precios fue sorprendente, en general no lo recomendaría.	2.7
El servicio no estuvo mal, desde que llegamos pasó sin pena ni gloria.	1.5
El servicio fue excelente, desde que llegamos volvería sin duda.	3.8
La atención fue decepcionante, en general volvería sin duda.	1.1
