Review,Polarity,clean
"Cuando leo los comentarios sobre lo groseras que son las cosas creen que el personal de este hotel es muy poco amable e incluso grosero que son una molestia para ellos sólo hay que olvidar si tienes que pedir algo tan simple como llamar a un taxi o necesitar una toalla o simplemente agitar que nunca están contentos de ver que hay personas que viven en este hotel que se puede ver en las habitaciones y apartamentos tienen lleno de un montón de animales vivos en el interior Me encantan los animales, pero no esperaba que corriendo por los pasillos desayuno estaba incluido, pero no muy bien se puede obtener en Internet, pero justo cerca de la",1.0,"Cuando leo los comentarios sobre lo groseras que son las cosas creen que el personal de este hotel es muy poco amable e incluso grosero que son una molestia para ellos sólo hay que olvidar si tienes que pedir algo tan simple como llamar a un taxi o necesitar una toalla o simplemente agitar que nunca están contentos de ver que hay personas que viven en este hotel que se puede ver en las habitaciones y apartamentos tienen lleno de un montón de animales vivos en el interior Me encantan los animales, pero no esperaba que corriendo por los pasillos desayuno estaba incluido, pero no muy bien se puede obtener en Internet, pero justo cerca de la"
Durante la cata comprar una botella de tequila la hermandad descansa en pesas el guía ofrecido para guardar la botella mientras temíamos la degustación hasta el día de salir del hotel pasar junto a mi botella y lo entregaron vacío y roto nadie fue responsable muy buena experiencia pero muy malo que no asumen la responsabilidad,1.0,Durante la cata comprar una botella de tequila la hermandad descansa en pesas el guía ofrecido para guardar la botella mientras temíamos la degustación hasta el día de salir del hotel pasar junto a mi botella y lo entregaron vacío y roto nadie fue responsable muy buena experiencia pero muy malo que no asumen la responsabilidad
la verdad muy caro la entrada pesos mexicanos por persona mucho mejor el cenote azul en baccalar donde sólo pagar pesos para entrar es mucho más cómodo en todos los sentidos la verdad que no recomiendo en absoluto adicionalmente muchas personas están aglomeradas y en estos momentos en tiempos de pandemia hay que tener en cuenta,1.0,la verdad muy caro la entrada pesos mexicanos por persona mucho mejor el cenote azul en baccalar donde sólo pagar pesos para entrar es mucho más cómodo en todos los sentidos la verdad que no recomiendo en absoluto adicionalmente muchas personas están aglomeradas y en estos momentos en tiempos de pandemia hay que tener en cuenta
Era sólo una noche y lo suficiente no tenía teléfono ni fuerte seguro ni ventilador menos aire acondicionado es viejo y descuidado no hay desayuno baúl viejo pan café como la mermelada de caldo sucio no se sabía de qué y un jugo de naranja no hay restaurante todo lo que se ofrece es una gran mentira hice la queja en mi país Uruguay,1.0,Era sólo una noche y lo suficiente no tenía teléfono ni fuerte seguro ni ventilador menos aire acondicionado es viejo y descuidado no hay desayuno baúl viejo pan café como la mermelada de caldo sucio no se sabía de qué y un jugo de naranja no hay restaurante todo lo que se ofrece es una gran mentira hice la queja en mi país Uruguay
El hotel es muy agradable está lejos del pueblo por lo que no hay ruido si decides ir al spa hacer que la gruta de los sentidos los masajes son muy buenos el restaurante tiene una vista espectacular y la comida es rica,1.0,El hotel es muy agradable está lejos del pueblo por lo que no hay ruido si decides ir al spa hacer que la gruta de los sentidos los masajes son muy buenos el restaurante tiene una vista espectacular y la comida es rica
"Llegamos y la persona que nos dio la bienvenida nos hizo pasar, pero insinuando que era demasiado tarde el camarero que nos servía nada atento pedimos un par de platos divididos en dos platos y se molestó diciendo que si lo dividíamos más",1.0,"Llegamos y la persona que nos dio la bienvenida nos hizo pasar, pero insinuando que era demasiado tarde el camarero que nos servía nada atento pedimos un par de platos divididos en dos platos y se molestó diciendo que si lo dividíamos más"
Llegamos a Huasca para pasar un rato de calma y descanso tuvimos hotel y luego salimos mi compañero y yo para encontrar algo de cena se me ocurrió entrar en este restaurante del hotel se veía bien al entrar nos mencionaron para esperar un momento ya más,1.0,Llegamos a Huasca para pasar un rato de calma y descanso tuvimos hotel y luego salimos mi compañero y yo para encontrar algo de cena se me ocurrió entrar en este restaurante del hotel se veía bien al entrar nos mencionaron para esperar un momento ya más
la comida es típica mexicana bastante bueno el lugar va es colonial el servicio es lento pero si tienes tiempo y quieres comer rico definitivamente que este es el lugar,1.0,la comida es típica mexicana bastante bueno el lugar va es colonial el servicio es lento pero si tienes tiempo y quieres comer rico definitivamente que este es el lugar
"No mantener ha hecho nada pero la hacienda posee la casa es muy pequeñas habitaciones y un techo de patio no hay vistas desde el techo muchos senderos todo el ritmo, pero en un mantenimiento pobre y las viejas jaulas de animales son ruinas sentadas ahora todo el tiempo que caminamos los senderos un año chico fue asignado para monitorear no hablamos Inglés y era sólo un poco más espeluznante de lo necesario",1.0,"No mantener ha hecho nada pero la hacienda posee la casa es muy pequeñas habitaciones y un techo de patio no hay vistas desde el techo muchos senderos todo el ritmo, pero en un mantenimiento pobre y las viejas jaulas de animales son ruinas sentadas ahora todo el tiempo que caminamos los senderos un año chico fue asignado para monitorear no hablamos Inglés y era sólo un poco más espeluznante de lo necesario"
La tradición se ha perdido por completo desde que llegas a los barcos se van demasiado jóvenes con la intención de beber marihuana fumando haciendo ruido gritando rudeza uno piensa con respecto al lugar pero la misma gente allí ha perdido la tradición las pocas personas que lo guardan se molestan por tanto desorden es mejor ir a otros panteones menis atendidos por gente de ese estado porque los turistas tenemos más respeto que ellos,1.0,La tradición se ha perdido por completo desde que llegas a los barcos se van demasiado jóvenes con la intención de beber marihuana fumando haciendo ruido gritando rudeza uno piensa con respecto al lugar pero la misma gente allí ha perdido la tradición las pocas personas que lo guardan se molestan por tanto desorden es mejor ir a otros panteones menis atendidos por gente de ese estado porque los turistas tenemos más respeto que ellos
